,HM86_LB,HM86_UR,HM86_UTI,HM86_mouse
PROKKA_04606,0.6510047364762002,1.6465723647644415,1.8902588329253758,12.525166271622709
PROKKA_04607,2.307149971342581,6.030596999632307,2.385833386962263,17.34191152030006
PROKKA_04608,3.2579694051704857,8.961900530348863,2.7727138849011483,11.691564658174947
PROKKA_04609,3.1275346869919516,9.081668490037405,0.9299938919997622,17.926669552138097
PROKKA_04611,383.2000797963411,218.52605957241838,107.0424484339759,277.91812155229405
PROKKA_04612,4.678595599285524,9.696235378357658,10.939323501708833,26.602517524827416
PROKKA_04613,4.316057043974411,86.68917296706785,14.032061420109578,10.421860479141872
PROKKA_04614,7.13566125154188,72.76027130562139,20.086568386289894,17.110713804860072
PROKKA_04615,9.244598154635424,108.78859698121963,18.758713430460553,28.834093956308756
PROKKA_04616,1.5963428335448897,9.420160237506813,2.99230859143435,7.310149740040728
PROKKA_04617,7.549717563904683,5.706916745253524,45.229895247449974,42.84765729122356
PROKKA_04619,192.32891270249598,185.66587281054248,85.06035490858876,159.0260505481598
PROKKA_04620,43.56459236136693,41.24830235364641,48.66377129588785,44.93276790359345
PROKKA_04621,134.5197254239579,139.5681037137549,88.49149042973441,155.18264296445233
PROKKA_04622,2.1277165120023365,1.0674996840257573,1.8577840070042646,2.8350263252033567
PROKKA_04623,318.5497866282404,593.3722510111123,191.92314098627014,196.9367775079739
PROKKA_04624,79.94072196416714,95.10625594890232,54.82852253469017,81.74629765678809
PROKKA_04625,264.4325888277403,40.52082704953248,780.2760434367219,189.15433342414892
PROKKA_04626,439.1170321541315,408.66080145639245,226.98074328175804,317.97037933759054
PROKKA_04627,0.7760228428439472,1.0732148652989562,1.7024643886119428,7.093236189680322
PROKKA_04628,2.6959053242960342,1.9985832258883587,5.391760022669386,8.983500311945852
PROKKA_04629,0.7077807865510748,1.6337700676699813,5.58990981073654,4.770259606203415
PROKKA_04630,8.885743189227542,16.82755803367289,23.309432335788014,19.116995155513685
PROKKA_04631,25.224244353683442,30.79071096816941,17.83810809910807,29.549560359246406
PROKKA_04632,11.371239660842674,22.894461308467303,15.976942460236677,18.203853246042605
PROKKA_04633,0.5836126296663666,1.5471502373105754,0.8230812083525455,1.570053949128368
PROKKA_04634,0.12177573969872431,0.5236081182948454,0.15027503372739115,0.5431347912756044
PROKKA_04635,0.8400714499282576,3.069507399864813,3.455580610273497,4.0764036634829175
PROKKA_04636,44.88623321360053,84.69257969711568,159.0924213313458,23.6127850507069
PROKKA_04637,34.67804722791636,52.610094278172504,33.21969707439829,38.448168038526084
PROKKA_04638,335.6962636447833,252.0358855603141,80.93038542161945,186.74163340755132
PROKKA_04639,7.213456196288376,37.65871201807113,1.9781396266615239,23.445318490063592
PROKKA_04640,89.31292137290795,254.50181439784666,82.61723765677709,192.47890554537364
PROKKA_04641,14.438728045641925,38.977085900126696,7.127135008689088,19.489917819631096
PROKKA_04642,7.181886450024898,24.600291920571767,5.622842168740367,77.09638834861954
PROKKA_04643,7.746583317264217,23.81904671221974,2.8574663222378383,29.73114088558192
PROKKA_04644,4.462879577743868,11.78294776077138,25.376920106695994,111.23378081737962
PROKKA_04645,4.199868381246311,13.386570386867632,23.35895272866442,131.03556694805692
PROKKA_04646,7.046763135838577,14.872941305685348,17.12150823926459,59.89143181443667
PROKKA_04647,2.61007776209681,6.1161648687132635,4.797110102002271,6.513239077700817
PROKKA_04648,4.0835811059688085,9.445755954378663,4.459527024777017,10.02894169768363
PROKKA_04649,4.500070240891733,9.178286844446001,5.133234143162974,12.087497109290437
PROKKA_04650,4.261679386830322,7.433705871954109,2.7481941875442306,8.327432161498503
PROKKA_04651,1.5225500310490225,2.6657983848863367,1.5822095882054483,2.806318214345702
PROKKA_04652,6.4064272336965855,9.665328803694681,1.0980179985375345,13.669399375759365
PROKKA_04653,9.791204385133502,33.56062297307667,6.3061844510601635,26.641623630784707
PROKKA_04654,12.714500879422792,8.36048539598913,16.365488936453072,20.34235955329289
PROKKA_04655,7.399037323299077,3.8833231931904186,5.547062624687261,8.804407723309403
PROKKA_04656,2.2920772991670004,2.114290675808211,1.5372251979525484,6.049811594690919
PROKKA_04657,3.717013426786508,5.553648392833327,3.7670272657570925,8.3648079697247
PROKKA_04658,2.210543111658812,3.1180244761442353,2.491213380857323,3.90169946818163
PROKKA_04659,2.341029187816839,3.4819724567216475,2.041627216030728,2.0087265060497193
PROKKA_04660,4.283856717867299,7.911105442178052,2.742949542148154,7.009732627436315
PROKKA_04661,2.5802343134559718,4.3081683210871615,2.1356694800678047,2.962806114997069
PROKKA_04662,2.9797200547943414,5.300486135773989,2.223342727405191,4.052223147154471
PROKKA_04663,2.7946937049964427,4.845313256447275,1.6557729775194898,3.7236349424238093
PROKKA_04664,0.9405577892450461,2.9831512675714777,0.17586021780076258,1.0593443270842038
PROKKA_04665,1.6374572305113104,3.9382695944666124,1.1779707654213356,2.1833365742678597
PROKKA_04666,3.3803626419680723,8.162828503680299,3.3712608183053474,5.207116383295476
PROKKA_04667,10.526024127529828,21.87102404285357,5.003339745913301,10.394107639731887
PROKKA_04668,31.057834647932637,39.24458955868644,9.820269531805423,27.934401243007468
PROKKA_04669,18.42516582707563,10.180017822925395,242.01995186618527,223.99559152135552
PROKKA_04671,129.72221559276457,217.11479520900807,196.1727859035796,177.34407030575963
PROKKA_04672,16.55146127144963,35.48114780794208,77.78293667584306,26.18024704646542
PROKKA_04673,14.181417379639258,26.417896052665476,15.74484811476329,28.416740396510928
PROKKA_04674,37.30482848701834,156.05425456965347,38.42044964948952,60.534910313953525
PROKKA_04675,15.301106720717698,53.2466198775809,226.7344165947306,200.08502013823045
PROKKA_04676,6.793077766235345,64.05934636759345,11.708864657132072,19.966943780251434
PROKKA_04677,18.105650969207463,102.52171538717752,40.27753886382952,63.61696943272976
PROKKA_04678,19.844562550257535,18.60066884482913,6.147218926166919,28.762473402392796
PROKKA_04679,9.678562909133491,17.426880721813134,13.993918053590445,10.716747608456986
PROKKA_04687,74.10029277782645,107.07477674267878,86.804849464803,54.85798547133927
PROKKA_04688,27.83178034533371,31.96864921937362,140.4227634754326,87.23421398191968
PROKKA_04689,103.32203432109584,137.44184517210223,238.7171840710232,238.5787266140847
PROKKA_04690,320.86101693050347,469.8749442963532,462.69535375428177,348.9605861617762
PROKKA_04691,170.7510635958628,118.8311605159897,163.0067511888296,101.30897876540914
PROKKA_04692,18.286332520605065,28.689957539102373,34.005943558667404,27.01572767077577
PROKKA_04693,247.57011779275498,96.78930634889731,203.60180888714353,166.82580771822674
PROKKA_04694,4.317600231123993,10.090777262615402,13.478703950494129,6.941190859026571
PROKKA_04695,28.812380133895044,53.661292926850656,49.137078686666314,44.047636589112095
PROKKA_04696,53.36854977628502,111.88873017940183,82.05212697602168,82.68826781843123
PROKKA_04697,92.90592937698551,124.97591581864498,89.9065196050229,75.77272919431735
PROKKA_04698,103.44867353767586,106.99015583148152,52.265656730386645,123.57357509869945
PROKKA_04699,7.737677337279903,13.040836463222183,12.061305399319995,21.39277961858916
PROKKA_04700,16.660803938322335,24.783201087437604,21.296364318931342,23.0592823462095
PROKKA_04701,13.201476285089917,36.40493302458457,9.069233494347296,13.893840960998634
PROKKA_04702,16.933528043314883,57.17406713225166,11.839721398522897,17.30305282661173
PROKKA_04703,265.4828901238833,147.2448760466753,265.14329509210745,174.32587920647015
PROKKA_04704,83.15330657646683,102.98069077316552,277.4642919762197,90.34312743569332
PROKKA_04705,38.69385307801893,101.41618557644925,160.69935563495557,130.2136804250392
PROKKA_04706,50.92209018233913,109.50908392605824,151.49300763968776,136.94135503662
PROKKA_04707,38.120929451806056,47.84790053513684,81.74799736066184,99.68510778597923
