K-12,HM43_UR,HM43_UTI,HM43_LB,HM43_mouse,HM56_UTI,HM56_LB,HM56_UR,HM56_mouse,HM86_LB,HM86_UR,HM86_UTI,HM86_mouse
b1253,431.0,371.0,1209.0,76.0,756.0,1394.0,671.0,260.0,1217.0,656.0,462.0,298.0
b0686,2100.0,450.0,3539.0,158.0,795.0,5491.0,5356.0,615.0,6359.0,6477.0,364.0,825.0
b3700,835.0,705.0,3256.0,560.0,2361.0,8290.0,4131.0,1847.0,7984.0,7422.0,799.0,1831.0
b4515,1248.0,46.0,2273.0,235.0,96.0,877.0,542.0,214.0,635.0,375.0,30.0,386.0
b3149,3908.0,447.0,5093.0,328.0,853.0,6615.0,8390.0,1392.0,7536.0,10091.0,383.0,1925.0
b3793,905.0,375.0,2353.0,166.0,524.0,2809.0,2108.0,371.0,1394.0,1102.0,145.0,338.0
b3675,386.0,46.0,677.0,12.0,114.0,366.0,682.0,81.0,396.0,678.0,70.0,96.0
b2294,6679.0,1081.0,5270.0,520.0,1028.0,8930.0,10554.0,2538.0,6602.0,8285.0,475.0,1894.0
b2387,44.0,5.0,61.0,22.0,0.0,34.0,53.0,3.0,12.0,47.0,0.0,38.0
b0146,11399.0,546.0,9003.0,248.0,668.0,10479.0,21587.0,944.0,8420.0,13901.0,414.0,1943.0
b3689,1130.0,259.0,1637.0,113.0,510.0,3439.0,5394.0,638.0,3178.0,4047.0,172.0,602.0
b4100,5.0,1.0,30.0,5.0,3.0,21.0,25.0,5.0,2.0,10.0,1.0,4.0
b1419,368.0,118.0,273.0,52.0,134.0,649.0,1292.0,625.0,168.0,590.0,28.0,351.0
b0310,109.0,21.0,760.0,93.0,27.0,118.0,87.0,150.0,22.0,40.0,5.0,138.0
b0449,1024.0,162.0,1295.0,258.0,440.0,1644.0,4137.0,436.0,955.0,2862.0,125.0,357.0
b0880,24156.0,317.0,16841.0,526.0,64.0,3929.0,16663.0,2455.0,3563.0,18207.0,79.0,3409.0
b0841,745.0,326.0,1578.0,159.0,450.0,2619.0,969.0,324.0,2396.0,935.0,227.0,339.0
b1848,8973.0,963.0,11842.0,1504.0,2505.0,10297.0,9267.0,1901.0,12280.0,12846.0,1212.0,5068.0
b2219,479.0,99.0,1039.0,49.0,26.0,2703.0,1103.0,227.0,2294.0,1961.0,28.0,528.0
b3803,7872.0,693.0,12874.0,501.0,1464.0,15889.0,22036.0,2419.0,13413.0,21512.0,592.0,2461.0
b3646,308.0,87.0,2171.0,44.0,187.0,2220.0,240.0,59.0,802.0,121.0,30.0,221.0
b0641,3712.0,784.0,5890.0,334.0,1482.0,7188.0,5763.0,921.0,3732.0,4282.0,459.0,1175.0
b3040,5826.0,362.0,4080.0,164.0,350.0,4224.0,6267.0,580.0,3346.0,3732.0,240.0,846.0
