,predict,resid,K-12,Gene Name
PROKKA_00468,3.0214882730719914,1.88719440092866,b1075,flgD
PROKKA_00469,3.055346605838852,1.4402564661035768,b1074,flgC
PROKKA_00470,3.4560433701922735,2.16619856699688,b1073,flgB
PROKKA_00471,1.8466302831293318,2.4532355953384295,b1072,flgA
PROKKA_00472,4.62459892303027,0.7413237420449015,b1071,flgM
PROKKA_00473,4.31314775866315,2.6653844758495335,b1070,flgN
PROKKA_00474,3.7161487564093845,0.7636162823392851,b1069,murJ
PROKKA_00475,3.6634855398024744,-0.10067360079792431,b1068,yceM
PROKKA_00476,5.705310165452685,0.9525733127798057,b1067,yceH
PROKKA_00477,5.065735655266066,1.1530017002299058,b1066,rimJ
PROKKA_00478,1.7063341167628696,0.701944019498153,b1065,mdtH
PROKKA_00479,6.346949112569882,0.3929936437059496,b1064,grxB
PROKKA_00480,5.832488132165796,0.1539572724347149,b1063,yceB
PROKKA_00481,4.960247740466451,0.3940250013437838,b1062,pyrC
PROKKA_00482,4.647332754566836,-0.037889282131343904,b1061,dinI
PROKKA_00483,8.075072917334776,0.9541005372633045,b1060,bssS
PROKKA_00484,5.055568198743254,1.2909285871448226,b1059,solA
PROKKA_00485,2.5811348351074077,-1.0551073017884978,b1058,yceO
PROKKA_00486,4.163449454910044,1.911901439763037,b1057,yceJ
PROKKA_00487,4.922152414296211,2.2549080640547157,b1056,yceI
PROKKA_00488,4.3856449219077565,3.6980137573472014,b1055,yceA
PROKKA_00489,5.59766363382746,0.23214806321495196,b1054,lpxL
PROKKA_00490,5.226887205691987,-1.341793832476529,b1053,mdtG
PROKKA_00491,8.488397765309688,-1.2423406167466071,b1051,msyB
PROKKA_00492,2.2664230981976257,1.5513487353003863,b1050,yceK
PROKKA_00498,6.86961488454142,1.1547090893994927,b1048,opgG
PROKKA_00499,3.159568837006139,2.3343710833517317,b1047,opgC
PROKKA_00500,3.75872254984923,0.4673628582922591,b1046,clsC
PROKKA_00501,2.6627526989807397,1.8176921148794078,b1045,ymdB
PROKKA_00502,2.265217977518527,0.685615906035272,b1044,ymdA
PROKKA_00503,1.3885970235337122,0.1571511772358818,b1043,csgC
PROKKA_00504,1.7527055831649165,-0.494809462501246,b1042,csgA
PROKKA_00505,2.886028240633075,0.6085632419861611,b1041,csgB
PROKKA_00506,1.7006029892908083,0.2169967141725606,b1040,csgD
PROKKA_00507,2.5638027944325046,-0.06764684105502683,b1039,csgE
PROKKA_00508,3.069574122424318,-1.140321370671359,b1038,csgF
PROKKA_00509,2.548254867898249,-0.2400128554527381,b1037,csgG
PROKKA_00510,6.080458414640096,0.07194140880756361,b1036,ycdZ
PROKKA_00511,7.761275711778332,0.8720926847202399,b1035,ycdY
PROKKA_00512,6.8227519691751475,0.9080364534782825,b1034,ycdX
PROKKA_00513,6.038559955545503,-0.8376096536852593,b1033,ghrA
PROKKA_00516,5.3267974333923735,0.38498990568139124,b1020,phoH
PROKKA_00517,7.126086684799844,2.009825618947346,b1019,efeB
PROKKA_00518,7.671133115230134,2.270670858732979,b1018,efeO
PROKKA_00520,4.766193682920931,1.0046542346178127,b1015,putP
PROKKA_00521,3.6107466435484286,0.6279828036444481,b1014,putA
