,HM43_LB_rep2,HM43_UR_rep1,HM43_UTI,HM43_UR_rep2,HM43_LB_rep1,HM43_mouse
PROKKA_00730,70.8278015088094,118.79907884381771,25.284110032027336,158.9346956581507,71.07231884944021,52.57447284541841
PROKKA_00731,18.538944370495205,22.82671567981508,34.16313693511379,12.87632309079183,16.099506100363577,56.606511246465566
PROKKA_00732,8.498360228392546,27.673603620098714,4.313313475195229,22.182425972089437,6.181999827495319,13.098685092016087
PROKKA_00733,9.391776823318434,8.50971486798642,72.96939525749313,5.415855707711611,9.154726585666925,53.46688843511107
PROKKA_00734,65.66331719913286,55.48784928816815,49.70434890995276,36.87843751918124,64.73441349417477,69.60652970581485
PROKKA_00735,54.40374057097259,34.541025316453805,16.546108915211846,23.573377027323016,57.40123447608095,33.4549632405432
PROKKA_00736,42.9382121535211,28.567328963709006,11.992055004625445,18.712534662716525,44.53808371524647,33.74194116531494
PROKKA_00737,29.787538989640247,18.470867797909467,10.499663340325192,14.893449550067192,30.41396454838061,23.45855421024699
PROKKA_00738,34.8636696834772,21.942909292889333,7.586810309048749,16.946969414089374,35.08099301654375,20.298224574327637
PROKKA_00739,121.65815576045232,89.15615795939075,52.33048671704846,175.86335517628467,133.01950917122912,66.08446368984214
PROKKA_00740,36.00267924218603,73.58641071614724,0.4187201484626117,69.49642412687612,38.24387264825131,6.103539728815906
PROKKA_00741,19.871790843454608,38.5044513486198,1.45500471680387,37.48279321213149,21.652582445035335,4.9903773662411
PROKKA_00742,15.844472173178572,37.81595827004052,1.333246999916517,40.89175408330963,15.090884355210253,4.58865024823869
PROKKA_00743,4.509793467445695,7.011900664542822,7.5974509967192265,4.393641427395636,3.678920169216117,15.924179856605253
PROKKA_00744,95.50116615785375,171.79306780182748,93.54192256043062,292.1917346620315,96.89692558141078,87.23649846935601
PROKKA_00745,87.36574553940478,295.0845687264335,76.84163184695836,244.72863744988538,91.12487980348686,194.6748602713196
PROKKA_00746,66.4898269867776,203.7529902651711,24.71132500661593,132.1618794516103,74.24384460540625,202.2223122124149
PROKKA_00747,96.05080083892359,287.8012705355493,47.742154769519146,310.8512538542389,84.66708777752049,175.57639542927132
PROKKA_00748,87.04100850365256,339.25919138450837,86.09251542104148,352.3529807721385,96.57811273974616,168.8374458296097
PROKKA_00749,70.26454111829429,319.2836231192942,108.90026202958146,314.91427077448714,58.886148832566384,263.5232935043924
PROKKA_00751,38.39801723780245,65.04875502871485,75.33334994095104,32.587244693406795,38.31157003678041,52.57506367604915
PROKKA_00752,150.21478953593476,214.2730623456686,76.41618537901849,237.22393582840266,151.4920160089514,214.24937833386394
PROKKA_00753,2.7084525705033853,4.675780170432651,8.315233750833341,2.9941202289568136,3.85148680689256,14.865169506936425
PROKKA_00754,2.323045930612002,2.1961863720726553,4.642524983815262,1.464433036727583,2.130055331969902,12.30408936060637
PROKKA_00755,1.3125923221454692,1.4150759703989493,1.3806153941943133,0.7756044411322329,0.9065037519787442,7.602685679924069
